SK ENGINEERING & CONSTRUCTION CO., LTD.	1.180002144458031E13	DEPARTMENT OF DEFENSE (DOD)
ELECTRIC BOAT CORPORATION	5.57108297386621E12	DEPARTMENT OF DEFENSE (DOD)
HUNTINGTON INGALLS INCORPORATED	3.6498156397230293E12	DEPARTMENT OF DEFENSE (DOD)
LOCKHEED MARTIN CORPORATION	3.36363399059506E12	DEPARTMENT OF DEFENSE (DOD)
HUMANA MILITARY HEALTHCARE SERVICES, INC.	2.53518407558371E12	DEPARTMENT OF DEFENSE (DOD)
HEALTH NET FEDERAL SERVICES, LLC	2.08602370451884E12	DEPARTMENT OF DEFENSE (DOD)
BOEING COMPANY	1.908289619208E12	NATIONAL AERONAUTICS AND SPACE ADMINISTRATION (NASA)
UNITEDHEALTH MILITARY & VETERANS SERVICES, LLC	1.4363633179041504E12	DEPARTMENT OF DEFENSE (DOD)
UT BATTELLE LIMITED LIABILITY COMPANY	1.36767805993427E12	DEPARTMENT OF ENERGY (DOE)
BATTELLE MEMORIAL INSTITUTE	1.2836860064821199E12	DEPARTMENT OF ENERGY (DOE)
LOS ALAMOS NATIONAL SECURITY LIMITED LIABILITY COMPANY	1.281E12	DEPARTMENT OF ENERGY (DOE)
BOEING COMPANY, THE	1.1650843826145898E12	DEPARTMENT OF DEFENSE (DOD)
SAVANNAH RIVER NUCLEAR SOLUTIONS, LLC	9.867937044537899E11	DEPARTMENT OF ENERGY (DOE)
THE BOEING COMPANY	8.7947541288658E11	DEPARTMENT OF DEFENSE (DOD)
BATH IRON WORKS CORPORATION	7.5696945146875E11	DEPARTMENT OF DEFENSE (DOD)
RAYTHEON COMPANY	6.854997442828698E11	DEPARTMENT OF DEFENSE (DOD)
HUMANA GOVERNMENT BUSINESS, INC.	6.7993455658237E11	DEPARTMENT OF DEFENSE (DOD)
LOCKHEED MARTIN CORPORATION	5.936469727463099E11	NATIONAL AERONAUTICS AND SPACE ADMINISTRATION (NASA)
LAWRENCE LIVERMORE NATIONAL SECURITY LIMITED LIABILITY COMPANY	5.578790200035E11	DEPARTMENT OF ENERGY (DOE)
SIKORSKY AIRCRAFT CORPORATION	5.0325209452068054E11	DEPARTMENT OF DEFENSE (DOD)
STANFORD UNIVERSITY	4.9077E11	DEPARTMENT OF ENERGY (DOE)
BECHTEL NATIONAL, INC	4.2565705460657E11	DEPARTMENT OF ENERGY (DOE)
THE REGENTS OF THE UNIVERSITY OF CALIFORNIA (1741)	4.210375009654401E11	DEPARTMENT OF ENERGY (DOE)
SAIC-FREDERICK, INC.	3.9977366260148E11	DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS)
CONSOLIDATED NUCLEAR SECURITY LLC	3.9841383274356E11	DEPARTMENT OF ENERGY (DOE)
MISSION SUPPORT ALLIANCE, LLC	3.883787662147999E11	DEPARTMENT OF ENERGY (DOE)
NATIONAL TECHNOLOGY & ENGINEERING SOLUTIONS OF SANDIA, LLC	3.6806283253553E11	DEPARTMENT OF ENERGY (DOE)
WASHINGTON RIVER PROTECTION SOLUTIONS LLC	3.226127461954799E11	DEPARTMENT OF ENERGY (DOE)
NORTHROP GRUMMAN SYSTEMS CORPORATION	2.9705618765742004E11	DEPARTMENT OF DEFENSE (DOD)
BATTELLE ENERGY ALLIANCE LIMITED LIABILITY COMPANY	2.8578E11	DEPARTMENT OF ENERGY (DOE)
CH2M HILL PLATEAU REMEDIATION COMPANY	2.7028770227940002E11	DEPARTMENT OF ENERGY (DOE)
NORTHROP GRUMMAN SPACE AND MISSION SYSTEMS CORPORATION	2.6114791266407E11	DEPARTMENT OF DEFENSE (DOD)
SAVANNAH RIVER REMEDIATION LLC	2.4952096627032007E11	DEPARTMENT OF ENERGY (DOE)
LOCKHEED MARTIN CORPORATION	2.4809516836386E11	DEPARTMENT OF ENERGY (DOE)
HARRIS CORPORATION	2.4649961605110995E11	DEPARTMENT OF DEFENSE (DOD)
ALLIANCE FOR SUSTAINABLE ENERGY, LLC	2.2111849484634E11	DEPARTMENT OF ENERGY (DOE)
WASHINGTON GROUP/ALBERICI JOINT VENTURE	2.0831762521215005E11	DEPARTMENT OF DEFENSE (DOD)
AUSTAL USA, LLC	1.7880324703525995E11	DEPARTMENT OF DEFENSE (DOD)
CALIFORNIA INSTITUTE OF TECHNOLOGY	1.7727585964209003E11	NATIONAL AERONAUTICS AND SPACE ADMINISTRATION (NASA)
REGENTS OF THE UNIVERSITY OF CALIFORNIA LOS ALAMOS NATIONAL LABORATORY	1.7474354224362E11	DEPARTMENT OF ENERGY (DOE)
BECHTEL MARINE PROPULSION CORPORATION	1.7412716419884003E11	DEPARTMENT OF ENERGY (DOE)
BELL BOEING JOINT PROJECT OFFICE	1.7159527334527997E11	DEPARTMENT OF DEFENSE (DOD)
UNITED TECHNOLOGIES CORPORATION	1.7061093522407004E11	DEPARTMENT OF DEFENSE (DOD)
THE BOEING COMPANY	1.6481706582379E11	NATIONAL AERONAUTICS AND SPACE ADMINISTRATION (NASA)
BECHTEL MARINE PROPULSION CORPORATION	1.5402602676E11	DEPARTMENT OF DEFENSE (DOD)
NATIONAL STEEL AND SHIPBUILDING COMPANY	1.4751961164712E11	DEPARTMENT OF DEFENSE (DOD)
REGENTS OF THE UNIVERSITY OF CALIFORNIA THE (7788)	1.4659347537408E11	DEPARTMENT OF ENERGY (DOE)
UCHICAGO ARGONNE, LLC	1.4335295735316E11	DEPARTMENT OF ENERGY (DOE)
URS	1.42370533698E11	DEPARTMENT OF ENERGY (DOE)
MISSION SUPPORT AND TEST SERVICES LLC	1.3618080812E11	DEPARTMENT OF ENERGY (DOE)
MASSACHUSETTS INSTITUTE OF TECHNOLOGY	1.3285025757762E11	DEPARTMENT OF DEFENSE (DOD)
SEOHEE CONSTRUCTION CO., LTD.	1.2889445029162E11	DEPARTMENT OF DEFENSE (DOD)
LOCKHEED MARTIN CORPORATION (3632)	1.2207150850371999E11	DEPARTMENT OF DEFENSE (DOD)
CLARK MCCARTHY HEALTHCARE PARTNERS II	1.2066502790050003E11	DEPARTMENT OF DEFENSE (DOD)
HONEYWELL INTERNATIONAL INC.	1.1600153907175002E11	DEPARTMENT OF ENERGY (DOE)
SCIENCE APPLICATIONS INTERNATIONAL CORPORATION	1.0664023079459973E11	DEPARTMENT OF DEFENSE (DOD)
NATIONAL STEEL & SHIPBUILDING COMPANY	1.0415655464895E11	DEPARTMENT OF DEFENSE (DOD)
EADS NORTH AMERICA DEFENSE COMPANY	1.0266460001902E11	DEPARTMENT OF DEFENSE (DOD)
FLUOR INTERCONTINENTAL INCORPORATED	9.993443188032999E10	DEPARTMENT OF DEFENSE (DOD)
GENERAL ATOMICS AERONAUTICAL SYSTEMS, INC.	9.424020502607E10	DEPARTMENT OF DEFENSE (DOD)
ATK LAUNCH SYSTEMS INCORPORATED	9.4231218602E10	NATIONAL AERONAUTICS AND SPACE ADMINISTRATION (NASA)
