DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS)	1.20500714450328E12
SOCIAL SECURITY ADMINISTRATION (SSA)	9.4458129804E11
DEPARTMENT OF VETERANS AFFAIRS (VA)	1.5741717920591025E11
DEPARTMENT OF AGRICULTURE (USDA)	1.0311529200066995E11
DEPARTMENT OF TRANSPORTATION (DOT)	8.667410600668982E10
DEPARTMENT OF EDUCATION (ED)	8.038701661719814E10
DEPARTMENT OF HOUSING AND URBAN DEVELOPMENT (HUD)	5.469311151525E10
DEPARTMENT OF HOMELAND SECURITY (DHS)	2.527522818869E10
DEPARTMENT OF THE INTERIOR (DOI)	1.4025572297820004E10
RAILROAD RETIREMENT BOARD (RRB)	1.2788882794250008E10
AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID)	1.11115532886E10
DEPARTMENT OF STATE (DOS)	8.298868861E9
DEPARTMENT OF LABOR (DOL)	8.070540833619998E9
NATIONAL SCIENCE FOUNDATION (NSF)	6.864260383E9
DEPARTMENT OF JUSTICE (DOJ)	6.06590214002E9
DEPARTMENT OF DEFENSE (DOD)	5.614517489E9
ENVIRONMENTAL PROTECTION AGENCY (EPA)	5.558714664E9
DEPARTMENT OF ENERGY (DOE)	3.25314930175E9
DEPARTMENT OF COMMERCE (DOC)	2.5638677911200004E9
EXPORT-IMPORT BANK OF THE UNITED STATES (EXIM)	2.3423244762300005E9
CORPORATION FOR NATIONAL AND COMMUNITY SERVICE (CNCS)	1.30958723499E9
NATIONAL AERONAUTICS AND SPACE ADMINISTRATION (NASA)	1.0165005976800001E9
SMALL BUSINESS ADMINISTRATION (SBA)	7.521792604499999E8
OVERSEAS PRIVATE INVESTMENT CORPORATION (OPIC)	6.58870843E8
DEPARTMENT OF THE TREASURY (TREAS)	4.5294398489E8
MILLENIUM CHALLENGE CORPORATION (MCC)	3.8308697335E8
INSTITUTE OF MUSEUM AND LIBRARY SERVICES (IMLS)	3.1927493282000005E8
EXECUTIVE OFFICE OF THE PRESIDENT (EOP)	2.4888234716000003E8
BROADCASTING BOARD OF GOVERNORS (BBG)	2.19943768E8
NATIONAL ENDOWMENT FOR THE ARTS (NEA)	1.1991584717999999E8
NATIONAL ENDOWMENT FOR THE HUMANITIES (NEH)	1.1451123656E8
GULF COAST ECOSYSTEM RESTORATION COUNCIL (GCERC)	6.8119191E7
DENALI COMMISSION (DENALI)	5.3409555E7
NUCLEAR REGULATORY COMMISSION (NRC)	1.624396645E7
INTER-AMERICAN FOUNDATION (EOP)	7662704.279999999
NATIONAL ARCHIVES AND RECORDS ADMINISTRATION (NARA)	6487217.080000001
NATIONAL CREDIT UNION ADMINISTRATION (NCUA)	580271.87
	6547.0
 2018).	0.0
 AND PROVIDE COLLEGE ACCESS ASSISTANCE	0.0
 AWARENESS ON ELDER FRAUD AND ABUSE	0.0
 BETTER HEALTH AND INCREASED HAPPINESS. THERE IS NO COST TO CLIENTS WHO ARE IN NEED OF A COMPANION.  BASED UPON A COMMUNITY ASSESSMENT CONDUCTED AND DOCUMENTED IN THE FRESNO MADERA AREA AGENCY ON AGING [FMAAA] 4 YEAR PLAN [2012-2016]	0.0
 OR OTHER EVENTS TO SHARE FINDINGS	0.0
 RSVP VOLUNTEERS WILL HAVE SERVED OVER 1	0.0
049	0.0
 JEWELRY CREATION	0.0
 TWELVE ECONOMICALLY DISADVANTAGED INDIVIDUALS WILL BE PLACED IN JOBS	0.0
032 WILL BE SUPPLEMENTED BY $29	0.0
 AND COMMUNITY RESOURCES. THE COMMISSION HOSTS AN ANNUAL VOLUNTEERISM AND SERVICE CONFERENCE	0.0
 AND IMPROVED SCHOOL ATTENDANCE. CCANO IS REQUESTING $331	0.0
 COMMUNITY NON-PROFITS	0.0
 EDUCATORS AND PARENTS TO ENSURE THEY HAVE THE TOOLS THEY NEED TO PERFORM AT THEIR VERY BEST	0.0
 STATE	0.0
215 WILL BE SUPPLEMENTED BY $49	0.0
PENSION BENEFIT GUARANTY CORPORATION (DOL)	0.0
 AND CASITAS DE VILLA CORONA SENIOR APARTMENTS.  	0.0
 IMPACTFUL	0.0
 NUTRITIOUS FOOD ACCESS AND EDUCATION	0.0
 TRAIN	0.0
 VETERANS	0.0
 AND MARKETING AND COMMUNITY RELATIONS. ALL AGENCIES SEEKING VISTA RESOURCES ARE IN- LINE WITH EITHER POVERTY ALLEVIATION OR SUPPORT OF THOSE MISSIONS.	0.0
 FARMING	0.0
 FOOD DISTRIBUTION 	0.0
